id,inquiry_id,over_head_value,profit_margin_percentage,google_conversion_rate_todate,version,created_at,updated_at
1,640,,27.5,,1,2023-01-18 13:20:12,2023-01-18 13:20:12
2,693,0.5,25.0,,1,2023-01-23 15:18:32,2023-01-23 15:18:32
