id,inquiry_id,version,comment,created_at,updated_at
1,640,2,Price quoted as US $ 23.00,2023-01-18 13:20:12,2023-01-18 13:20:12
2,693,2,Updated the USD to GBP conversion rate,2023-01-23 15:18:32,2023-01-23 15:18:32
