id,inquiry_id,item,amount,version,created_at,updated_at
1,640,FOB,17.3,1,2023-01-18 13:20:12,2023-01-18 13:20:12
2,693,FOB,9.8,1,2023-01-23 15:18:32,2023-01-23 15:18:32
