id,item,inquiry_id,number_of_pieces,amount,cost,version,created_at,updated_at
1,Inspection,640,1,0.25,0.25,1,2023-01-18 13:20:12,2023-01-18 13:20:12
2,Testing,640,1,0.5,0.5,1,2023-01-18 13:20:12,2023-01-18 13:20:12
3,Transportation,640,,,,1,2023-01-18 13:20:12,2023-01-18 13:20:12
4,Inspection,693,1,0.25,0.25,1,2023-01-23 15:18:32,2023-01-23 15:18:32
