id,inquiry_id,cost_service_id,income,payment,profit_or_loss_amount,profit_or_loss_status,created_at,updated_at,supplier_id
1,17,1,0.0,0.0,0.0,3,,,
2,17,2,0.0,0.0,0.0,3,,,
3,17,3,0.0,0.0,0.0,3,,,
4,17,4,0.0,0.0,0.0,3,,,
5,17,5,0.0,0.0,0.0,3,,,
6,17,6,0.0,0.0,0.0,3,,,
7,17,7,0.0,0.0,0.0,3,,,
8,17,8,0.0,0.0,0.0,3,,,
9,18,1,0.0,0.0,0.0,3,,,
10,18,2,0.0,0.0,0.0,3,,,
11,18,3,0.0,0.0,0.0,3,,,
12,18,4,0.0,0.0,0.0,3,,,
13,18,5,0.0,0.0,0.0,3,,,
14,18,6,0.0,0.0,0.0,3,,,
15,18,7,0.0,0.0,0.0,3,,,
16,18,8,0.0,0.0,0.0,3,,,
17,19,1,0.0,0.0,0.0,3,,,
18,19,2,0.0,0.0,0.0,3,,,
19,19,3,0.0,0.0,0.0,3,,,
20,19,4,0.0,0.0,0.0,3,,,
21,19,5,0.0,0.0,0.0,3,,,
22,19,6,0.0,0.0,0.0,3,,,
23,19,7,0.0,0.0,0.0,3,,,
24,19,8,0.0,0.0,0.0,3,,,
25,20,1,0.0,0.0,0.0,3,,,
26,20,2,0.0,0.0,0.0,3,,,
27,20,3,0.0,0.0,0.0,3,,,
28,20,4,0.0,0.0,0.0,3,,,
29,20,5,0.0,0.0,0.0,3,,,
30,20,6,0.0,0.0,0.0,3,,,
31,20,7,0.0,0.0,0.0,3,,,
32,20,8,0.0,0.0,0.0,3,,,
33,21,1,0.0,0.0,0.0,3,,,
34,21,2,0.0,0.0,0.0,3,,,
35,21,3,0.0,0.0,0.0,3,,,
36,21,4,0.0,0.0,0.0,3,,,
37,21,5,0.0,0.0,0.0,3,,,
38,21,6,0.0,0.0,0.0,3,,,
39,21,7,0.0,0.0,0.0,3,,,
40,21,8,0.0,0.0,0.0,3,,,
41,22,1,0.0,0.0,0.0,3,,,
42,22,2,0.0,0.0,0.0,3,,,
43,22,3,0.0,0.0,0.0,3,,,
44,22,4,0.0,0.0,0.0,3,,,
45,22,5,0.0,0.0,0.0,3,,,
46,22,6,0.0,0.0,0.0,3,,,
47,22,7,0.0,0.0,0.0,3,,,
48,22,8,0.0,0.0,0.0,3,,,
49,32,1,0.0,0.0,0.0,3,,,
50,32,2,0.0,0.0,0.0,3,,,
51,32,3,0.0,0.0,0.0,3,,,
52,32,4,0.0,0.0,0.0,3,,,
53,32,5,0.0,0.0,0.0,3,,,
54,32,6,0.0,0.0,0.0,3,,,
55,32,7,0.0,0.0,0.0,3,,,
56,32,8,0.0,0.0,0.0,3,,,
57,33,1,0.0,0.0,0.0,3,,,
58,33,2,0.0,0.0,0.0,3,,,
59,33,3,0.0,0.0,0.0,3,,,
60,33,4,0.0,0.0,0.0,3,,,
61,33,5,0.0,0.0,0.0,3,,,
62,33,6,0.0,0.0,0.0,3,,,
63,33,7,0.0,0.0,0.0,3,,,
64,33,8,0.0,0.0,0.0,3,,,
65,34,1,0.0,0.0,0.0,3,,,
66,34,2,0.0,0.0,0.0,3,,,
67,34,3,0.0,0.0,0.0,3,,,
68,34,4,0.0,0.0,0.0,3,,,
69,34,5,0.0,0.0,0.0,3,,,
70,34,6,0.0,0.0,0.0,3,,,
71,34,7,0.0,0.0,0.0,3,,,
72,34,8,0.0,0.0,0.0,3,,,
73,35,1,0.0,0.0,0.0,3,,,
74,35,2,0.0,0.0,0.0,3,,,
75,35,3,0.0,0.0,0.0,3,,,
76,35,4,0.0,0.0,0.0,3,,,
77,35,5,0.0,0.0,0.0,3,,,
78,35,6,0.0,0.0,0.0,3,,,
79,35,7,0.0,0.0,0.0,3,,,
80,35,8,0.0,0.0,0.0,3,,,
81,36,1,0.0,0.0,0.0,3,,,
82,36,2,0.0,0.0,0.0,3,,,
83,36,3,0.0,0.0,0.0,3,,,
84,36,4,0.0,0.0,0.0,3,,,
85,36,5,0.0,0.0,0.0,3,,,
86,36,6,0.0,0.0,0.0,3,,,
87,36,7,0.0,0.0,0.0,3,,,
88,36,8,0.0,0.0,0.0,3,,,
89,37,1,0.0,0.0,0.0,3,,,
90,37,2,0.0,0.0,0.0,3,,,
91,37,3,0.0,0.0,0.0,3,,,
92,37,4,0.0,0.0,0.0,3,,,
93,37,5,0.0,0.0,0.0,3,,,
94,37,6,0.0,0.0,0.0,3,,,
95,37,7,0.0,0.0,0.0,3,,,
96,37,8,0.0,0.0,0.0,3,,,
97,38,1,0.0,0.0,0.0,3,,,
98,38,2,0.0,0.0,0.0,3,,,
99,38,3,0.0,0.0,0.0,3,,,
100,38,4,0.0,0.0,0.0,3,,,
101,38,5,0.0,0.0,0.0,3,,,
102,38,6,0.0,0.0,0.0,3,,,
103,38,7,0.0,0.0,0.0,3,,,
104,38,8,0.0,0.0,0.0,3,,,
105,39,1,0.0,0.0,0.0,3,,,
106,39,2,0.0,0.0,0.0,3,,,
107,39,3,0.0,0.0,0.0,3,,,
108,39,4,0.0,0.0,0.0,3,,,
109,39,5,0.0,0.0,0.0,3,,,
110,39,6,0.0,0.0,0.0,3,,,
111,39,7,0.0,0.0,0.0,3,,,
112,39,8,0.0,0.0,0.0,3,,,
113,40,1,0.0,0.0,0.0,3,,,
114,40,2,0.0,0.0,0.0,3,,,
