user_id,role_id,created_at,updated_at
1793,5,2021-10-25 12:52:09,2021-10-25 12:52:09
1803,5,2021-11-10 09:28:12,2021-11-10 09:28:12
1803,6,2021-11-10 09:28:12,2021-11-10 09:28:12
1803,7,2021-11-10 09:28:12,2021-11-10 09:28:12
1803,11,2021-11-10 09:28:12,2021-11-10 09:28:12
1810,6,2021-12-03 05:09:45,2021-12-03 05:09:45
1810,7,2021-12-03 05:09:45,2021-12-03 05:09:45
1810,11,2021-12-03 05:09:45,2021-12-03 05:09:45
1813,11,2021-12-06 14:15:37,2021-12-06 14:15:37
1814,11,2021-12-07 07:21:03,2021-12-07 07:21:03
1816,5,2021-12-15 22:58:22,2021-12-15 22:58:22
1816,6,2021-12-15 22:58:22,2021-12-15 22:58:22
1816,7,2021-12-15 22:58:22,2021-12-15 22:58:22
1816,8,2021-12-15 22:58:22,2021-12-15 22:58:22
1816,11,2021-12-15 22:58:22,2021-12-15 22:58:22
1816,12,2021-12-15 22:58:22,2021-12-15 22:58:22
1819,11,2021-12-17 09:24:18,2021-12-17 09:24:18
1826,11,2022-01-01 16:31:19,2022-01-01 16:31:19
1840,5,2022-01-21 14:04:37,2022-01-21 14:04:37
1840,6,2022-01-21 14:04:37,2022-01-21 14:04:37
1840,7,2022-01-21 14:04:37,2022-01-21 14:04:37
1840,8,2022-01-21 14:04:37,2022-01-21 14:04:37
1840,11,2022-01-21 14:04:37,2022-01-21 14:04:37
1842,5,2022-01-25 15:51:27,2022-01-25 15:51:27
1842,6,2022-01-25 15:51:27,2022-01-25 15:51:27
1842,7,2022-01-25 15:51:27,2022-01-25 15:51:27
1842,8,2022-01-25 15:51:27,2022-01-25 15:51:27
1842,9,2022-01-25 15:51:27,2022-01-25 15:51:27
1842,10,2022-01-25 15:51:27,2022-01-25 15:51:27
1842,11,2022-01-25 15:51:27,2022-01-25 15:51:27
1842,12,2022-01-25 15:51:27,2022-01-25 15:51:27
1842,13,2022-01-25 15:51:27,2022-01-25 15:51:27
1844,10,2022-01-26 03:04:12,2022-01-26 03:04:12
1848,11,2022-02-01 12:02:59,2022-02-01 12:02:59
1858,12,2022-02-17 07:03:27,2022-02-17 07:03:27
1864,5,2022-02-26 21:32:42,2022-02-26 21:32:42
1864,6,2022-02-26 21:32:42,2022-02-26 21:32:42
1864,7,2022-02-26 21:32:42,2022-02-26 21:32:42
1864,8,2022-02-26 21:32:42,2022-02-26 21:32:42
1864,9,2022-02-26 21:32:42,2022-02-26 21:32:42
1864,11,2022-02-26 21:32:42,2022-02-26 21:32:42
1864,12,2022-02-26 21:32:42,2022-02-26 21:32:42
1870,6,2022-03-20 23:49:47,2022-03-20 23:49:47
1881,9,2022-03-07 14:10:51,2022-03-07 14:10:51
1881,11,2022-03-07 14:10:51,2022-03-07 14:10:51
1883,6,2022-03-14 14:54:14,2022-03-14 14:54:14
1883,8,2022-03-14 14:54:14,2022-03-14 14:54:14
1883,12,2022-03-14 14:54:14,2022-03-14 14:54:14
1883,13,2022-03-14 14:54:14,2022-03-14 14:54:14
1888,5,2022-03-14 15:33:59,2022-03-14 15:33:59
1888,11,2022-03-14 15:33:59,2022-03-14 15:33:59
1888,12,2022-03-14 15:33:59,2022-03-14 15:33:59
1897,5,2022-03-21 03:21:04,2022-03-21 03:21:04
1897,6,2022-03-21 03:21:04,2022-03-21 03:21:04
1897,7,2022-03-21 03:21:04,2022-03-21 03:21:04
1897,8,2022-03-21 03:21:04,2022-03-21 03:21:04
1897,9,2022-03-21 03:21:04,2022-03-21 03:21:04
1897,11,2022-03-21 03:21:04,2022-03-21 03:21:04
1911,5,2022-04-01 07:55:51,2022-04-01 07:55:51
1911,6,2022-04-01 07:55:51,2022-04-01 07:55:51
1911,7,2022-04-01 07:55:51,2022-04-01 07:55:51
1911,8,2022-04-01 07:55:51,2022-04-01 07:55:51
1911,9,2022-04-01 07:55:51,2022-04-01 07:55:51
1911,10,2022-04-01 07:55:51,2022-04-01 07:55:51
1911,11,2022-04-01 07:55:51,2022-04-01 07:55:51
1911,12,2022-04-01 07:55:51,2022-04-01 07:55:51
1911,13,2022-04-01 07:55:51,2022-04-01 07:55:51
1919,6,2022-05-09 09:53:28,2022-05-09 09:53:28
1919,7,2022-05-09 09:53:28,2022-05-09 09:53:28
1919,9,2022-05-09 09:53:28,2022-05-09 09:53:28
1919,10,2022-05-09 09:53:28,2022-05-09 09:53:28
1919,11,2022-05-09 09:53:28,2022-05-09 09:53:28
1919,12,2022-05-09 09:53:28,2022-05-09 09:53:28
1919,13,2022-05-09 09:53:28,2022-05-09 09:53:28
1920,11,2022-04-19 09:44:08,2022-04-19 09:44:08
1922,5,2022-04-22 19:28:41,2022-04-22 19:28:41
1922,7,2022-04-22 19:28:41,2022-04-22 19:28:41
1922,8,2022-04-22 19:28:41,2022-04-22 19:28:41
1922,9,2022-04-22 19:28:41,2022-04-22 19:28:41
1922,10,2022-04-22 19:28:41,2022-04-22 19:28:41
1926,5,2022-05-04 18:46:35,2022-05-04 18:46:35
1926,6,2022-05-04 18:46:35,2022-05-04 18:46:35
1926,7,2022-05-04 18:46:35,2022-05-04 18:46:35
1926,11,2022-05-04 18:46:35,2022-05-04 18:46:35
1926,12,2022-05-04 18:46:35,2022-05-04 18:46:35
1926,13,2022-05-04 18:46:35,2022-05-04 18:46:35
1927,5,2022-05-05 06:00:42,2022-05-05 06:00:42
1927,7,2022-05-05 06:00:42,2022-05-05 06:00:42
1930,5,2022-10-13 12:10:50,2022-10-13 12:10:50
1930,6,2022-10-13 12:10:50,2022-10-13 12:10:50
1930,11,2022-10-13 12:10:50,2022-10-13 12:10:50
1939,10,2022-05-25 13:57:50,2022-05-25 13:57:50
1945,11,2022-06-06 20:15:03,2022-06-06 20:15:03
1948,5,2022-06-15 02:03:13,2022-06-15 02:03:13
1948,6,2022-06-15 02:03:13,2022-06-15 02:03:13
1948,7,2022-06-15 02:03:13,2022-06-15 02:03:13
1948,8,2022-06-15 02:03:13,2022-06-15 02:03:13
1948,9,2022-06-15 02:03:13,2022-06-15 02:03:13
1948,10,2022-06-15 02:03:13,2022-06-15 02:03:13
1948,11,2022-06-15 02:03:13,2022-06-15 02:03:13
1948,12,2022-06-15 02:03:13,2022-06-15 02:03:13
1948,13,2022-06-15 02:03:13,2022-06-15 02:03:13
1949,11,2022-06-15 17:13:56,2022-06-15 17:13:56
1949,12,2022-06-15 17:13:56,2022-06-15 17:13:56
1951,10,2022-06-18 15:56:31,2022-06-18 15:56:31
1962,11,2022-07-20 12:47:57,2022-07-20 12:47:57
1964,11,2022-08-02 16:29:39,2022-08-02 16:29:39
1964,12,2022-08-02 16:29:39,2022-08-02 16:29:39
1964,13,2022-08-02 16:29:39,2022-08-02 16:29:39
1970,11,2022-08-07 15:56:47,2022-08-07 15:56:47
1973,10,2022-08-11 18:20:18,2022-08-11 18:20:18
1976,11,2022-08-17 14:34:10,2022-08-17 14:34:10
1980,11,2022-08-17 22:21:50,2022-08-17 22:21:50
1981,5,2022-08-19 07:33:50,2022-08-19 07:33:50
1981,6,2022-08-19 07:33:50,2022-08-19 07:33:50
1981,7,2022-08-19 07:33:50,2022-08-19 07:33:50
1984,5,2022-08-22 10:30:07,2022-08-22 10:30:07
1984,6,2022-08-22 10:30:07,2022-08-22 10:30:07
1984,10,2022-08-22 10:30:07,2022-08-22 10:30:07
1984,11,2022-08-22 10:30:07,2022-08-22 10:30:07
1984,12,2022-08-22 10:30:07,2022-08-22 10:30:07
1984,13,2022-08-22 10:30:07,2022-08-22 10:30:07
1985,11,2022-08-22 12:49:20,2022-08-22 12:49:20
1992,9,2022-08-26 05:04:06,2022-08-26 05:04:06
1996,5,2022-09-09 13:51:25,2022-09-09 13:51:25
1996,6,2022-09-09 13:51:25,2022-09-09 13:51:25
1996,7,2022-09-09 13:51:25,2022-09-09 13:51:25
1996,8,2022-09-09 13:51:25,2022-09-09 13:51:25
1996,9,2022-09-09 13:51:25,2022-09-09 13:51:25
1996,10,2022-09-09 13:51:25,2022-09-09 13:51:25
1996,11,2022-09-09 13:51:25,2022-09-09 13:51:25
1996,12,2022-09-09 13:51:25,2022-09-09 13:51:25
1996,13,2022-09-09 13:51:25,2022-09-09 13:51:25
2001,5,2022-09-22 16:36:05,2022-09-22 16:36:05
2001,9,2022-09-22 16:36:05,2022-09-22 16:36:05
2001,11,2022-09-22 16:36:05,2022-09-22 16:36:05
2003,5,2022-09-22 16:01:04,2022-09-22 16:01:04
2003,6,2022-09-22 16:01:04,2022-09-22 16:01:04
2003,7,2022-09-22 16:01:04,2022-09-22 16:01:04
2003,8,2022-09-22 16:01:04,2022-09-22 16:01:04
2003,9,2022-09-22 16:01:04,2022-09-22 16:01:04
2003,10,2022-09-22 16:01:04,2022-09-22 16:01:04
2003,11,2022-09-22 16:01:04,2022-09-22 16:01:04
2003,12,2022-09-22 16:01:04,2022-09-22 16:01:04
2003,13,2022-09-22 16:01:04,2022-09-22 16:01:04
2004,5,2022-09-24 15:23:38,2022-09-24 15:23:38
2004,6,2022-09-24 15:23:38,2022-09-24 15:23:38
2004,7,2022-09-24 15:23:38,2022-09-24 15:23:38
2004,8,2022-09-24 15:23:38,2022-09-24 15:23:38
2004,9,2022-09-24 15:23:38,2022-09-24 15:23:38
2004,10,2022-09-24 15:23:38,2022-09-24 15:23:38
2004,11,2022-09-24 15:23:38,2022-09-24 15:23:38
2004,12,2022-09-24 15:23:38,2022-09-24 15:23:38
2004,13,2022-09-24 15:23:38,2022-09-24 15:23:38
2010,5,2022-10-01 06:21:04,2022-10-01 06:21:04
2010,6,2022-10-01 06:21:04,2022-10-01 06:21:04
2010,7,2022-10-01 06:21:04,2022-10-01 06:21:04
2010,8,2022-10-01 06:21:04,2022-10-01 06:21:04
2010,10,2022-10-01 06:21:04,2022-10-01 06:21:04
2010,11,2022-10-01 06:21:04,2022-10-01 06:21:04
2010,12,2022-10-01 06:21:04,2022-10-01 06:21:04
2010,13,2022-10-01 06:21:04,2022-10-01 06:21:04
2014,11,2022-10-11 18:12:31,2022-10-11 18:12:31
2014,12,2022-10-11 18:12:31,2022-10-11 18:12:31
2016,5,2022-10-14 13:56:54,2022-10-14 13:56:54
2016,6,2022-10-14 13:56:54,2022-10-14 13:56:54
2016,11,2022-10-14 13:56:54,2022-10-14 13:56:54
2016,12,2022-10-14 13:56:54,2022-10-14 13:56:54
2016,13,2022-10-14 13:56:54,2022-10-14 13:56:54
2018,5,2022-10-24 17:20:37,2022-10-24 17:20:37
2018,6,2022-10-24 17:20:37,2022-10-24 17:20:37
2018,7,2022-10-24 17:20:37,2022-10-24 17:20:37
2018,8,2022-10-24 17:20:37,2022-10-24 17:20:37
2018,11,2022-10-24 17:20:37,2022-10-24 17:20:37
2018,12,2022-10-24 17:20:37,2022-10-24 17:20:37
2021,11,2022-10-28 09:07:00,2022-10-28 09:07:00
2021,12,2022-10-28 09:07:00,2022-10-28 09:07:00
2030,5,2022-11-21 05:49:48,2022-11-21 05:49:48
2030,6,2022-11-21 05:49:48,2022-11-21 05:49:48
2030,7,2022-11-21 05:49:48,2022-11-21 05:49:48
2030,8,2022-11-21 05:49:48,2022-11-21 05:49:48
2030,9,2022-11-21 05:49:48,2022-11-21 05:49:48
2030,10,2022-11-21 05:49:48,2022-11-21 05:49:48
2030,11,2022-11-21 05:49:48,2022-11-21 05:49:48
2032,11,2022-11-25 08:19:11,2022-11-25 08:19:11
2033,11,2022-12-01 06:59:09,2022-12-01 06:59:09
2035,9,2022-12-05 13:06:32,2022-12-05 13:06:32
2037,5,2022-12-12 01:17:39,2022-12-12 01:17:39
2037,6,2022-12-12 01:17:39,2022-12-12 01:17:39
2037,8,2022-12-12 01:17:39,2022-12-12 01:17:39
2037,9,2022-12-12 01:17:39,2022-12-12 01:17:39
2037,11,2022-12-12 01:17:39,2022-12-12 01:17:39
2037,12,2022-12-12 01:17:39,2022-12-12 01:17:39
2037,13,2022-12-12 01:17:39,2022-12-12 01:17:39
2038,11,2022-12-13 06:57:28,2022-12-13 06:57:28
2039,11,2022-12-20 09:33:07,2022-12-20 09:33:07
2040,11,2022-12-13 07:57:08,2022-12-13 07:57:08
2041,12,2022-12-14 07:41:26,2022-12-14 07:41:26
2045,5,2023-01-07 18:07:42,2023-01-07 18:07:42
2045,6,2023-01-07 18:07:42,2023-01-07 18:07:42
2045,7,2023-01-07 18:07:42,2023-01-07 18:07:42
2045,8,2023-01-07 18:07:42,2023-01-07 18:07:42
2045,9,2023-01-07 18:07:42,2023-01-07 18:07:42
2045,11,2023-01-07 18:07:42,2023-01-07 18:07:42
2045,12,2023-01-07 18:07:42,2023-01-07 18:07:42
2045,13,2023-01-07 18:07:42,2023-01-07 18:07:42
2048,5,2023-01-14 07:37:12,2023-01-14 07:37:12
2048,6,2023-01-14 07:37:12,2023-01-14 07:37:12
2048,7,2023-01-14 07:37:12,2023-01-14 07:37:12
2048,8,2023-01-14 07:37:12,2023-01-14 07:37:12
2048,9,2023-01-14 07:37:12,2023-01-14 07:37:12
2048,10,2023-01-14 07:37:12,2023-01-14 07:37:12
2048,11,2023-01-14 07:37:12,2023-01-14 07:37:12
2048,12,2023-01-14 07:37:12,2023-01-14 07:37:12
2048,13,2023-01-14 07:37:12,2023-01-14 07:37:12
